Time Start: 6/6/2014 9:14:08 AM
SET_CNTRL_REC 623UU                AM_13        WM_PM_ARM_BU_VW SHARE
SET_CNTRL_REC 623UU                AM_13        WM_PM_ARM_VW    SHARE
SET_CNTRL_REC 623UU                AM_15        AM_EPL_MASTR    SHARE
SET_CNTRL_REC 623UU                AM_15        AM_SUBTYPE      SHARE
SET_CNTRL_REC 623UU                AM_15        AM_SUBTYPE_LN   SHARE
SET_CNTRL_REC 623UU                AM_15        ASSET_LOC_RATE  SHARE
SET_CNTRL_REC 623UU                AM_15        EPL_LOOKUP_VW   SHARE
SET_CNTRL_REC 623UU                AM_15        GM_ASSET        SHARE
SET_CNTRL_REC 623UU                AM_15        PO_MFG_MODEL_VW SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_BK_TBL  SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_CR_TBL  SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_CR_VW   SHARE

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AM_15        PROFILE_DET_RT  SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_DET_TBL SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_DET_VW  SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_PCBK_VW SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_PO_VW   SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_PO_VWLN SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_TBL     SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_TBL_VW  SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_TBL_VW1 SHARE
SET_CNTRL_REC 623UU                AM_15        PROFILE_TBL_VW3 SHARE
SET_CNTRL_REC 623UU                AM_15        SP_BK_PRF_CLSVW SHARE
SET_CNTRL_REC 623UU                AM_15        SP_BK_PRF_NONVW SHARE
SET_CNTRL_REC 623UU                AM_15        SP_BK_PRF_OPRVW SHARE
SET_CNTRL_REC 623UU                AM_15        WM_AMSTYPBU_VW  SHARE
SET_CNTRL_REC 623UU                AM_15        WM_AM_CP_STYPVW SHARE
SET_CNTRL_REC 623UU                AM_15        WM_MAINT_TYPE   SHARE
SET_CNTRL_REC 623UU                AM_15_PC     PROFILE_PCAM_VW SHARE
SET_CNTRL_REC 623UU                AM_16        ASSET_BLOCK     SHARE
SET_CNTRL_REC 623UU                AM_16        ASSET_BLOCK_VW  SHARE
SET_CNTRL_REC 623UU                AM_16        LTAX_RT_DET_TBL SHARE
SET_CNTRL_REC 623UU                AM_16        LTAX_RT_TBL     SHARE

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AM_16        OWNER_INFO_TBL  SHARE
SET_CNTRL_REC 623UU                AM_16        RETURN_INFO_TBL SHARE
SET_CNTRL_REC 623UU                AM_16        TAX_CLASS_AM    SHARE
SET_CNTRL_REC 623UU                AM_17        TAX_CR_RED_TBL  SHARE
SET_CNTRL_REC 623UU                AM_17        TAX_CR_RED_VW   SHARE
SET_CNTRL_REC 623UU                AM_17        TAX_CR_STAT     SHARE
SET_CNTRL_REC 623UU                AM_17        TAX_CR_TBL      SHARE
SET_CNTRL_REC 623UU                AM_17        TAX_CR_VW       SHARE
SET_CNTRL_REC 623UU                AM_17        TAX_CR_VW2      SHARE
SET_CNTRL_REC 623UU                AM_17        TAX_QIV_DET_TBL SHARE
SET_CNTRL_REC 623UU                AM_17        TAX_QIV_TBL     SHARE
SET_CNTRL_REC 623UU                AM_19        AM_VNDR_CNT_VW  UNUNI
SET_CNTRL_REC 623UU                AM_19        VNDR_FS         UNUNI
SET_CNTRL_REC 623UU                AM_19        VNDR_INSRNCE_VW UNUNI
SET_CNTRL_REC 623UU                AM_20        FINANCE_CD_TBL  SHARE
SET_CNTRL_REC 623UU                AM_21        ASSET_CLASS_TBL SHARE
SET_CNTRL_REC 623UU                AM_21        FED_SUP_CLASS   SHARE
SET_CNTRL_REC 623UU                AM_21        FERC_CD_TBL     SHARE
SET_CNTRL_REC 623UU                AM_21        THRESHOLD_TBL   SHARE
SET_CNTRL_REC 623UU                AM_22        LEASE_SCH_DT    SHARE
SET_CNTRL_REC 623UU                AM_22        LEASE_SCH_ID    SHARE

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AM_23        ALLOC_BASIS     SHARE
SET_CNTRL_REC 623UU                AM_23        ALLOC_DEFN      SHARE
SET_CNTRL_REC 623UU                AM_23        TRANS_GROUP_HDR SHARE
SET_CNTRL_REC 623UU                AP_01        BUS_UNIT_OPT_AP 623UU
SET_CNTRL_REC 623UU                AP_01        BUS_UNIT_SCR_AP 623UU
SET_CNTRL_REC 623UU                AP_01        BU_FRG_LC_LANG  623UU
SET_CNTRL_REC 623UU                AP_01        BU_MSC_LC_LANG  623UU
SET_CNTRL_REC 623UU                AP_01        BU_NRV_LC_LANG  623UU
SET_CNTRL_REC 623UU                AP_01        BU_OPT_AP_VW    623UU
SET_CNTRL_REC 623UU                AP_01        BU_OPT_AP_VWLG  623UU
SET_CNTRL_REC 623UU                AP_01        BU_STX_LC_LANG  623UU
SET_CNTRL_REC 623UU                AP_01        BU_UTX_LC_LANG  623UU
SET_CNTRL_REC 623UU                AP_01        RFC_CODE_TBL    623UU
SET_CNTRL_REC 623UU                AP_04        ORIGINAP_BI_LNG UNUNI
SET_CNTRL_REC 623UU                AP_04        ORIGINAP_BI_VW  UNUNI
SET_CNTRL_REC 623UU                AP_04        ORIGIN_AP       UNUNI
SET_CNTRL_REC 623UU                AP_04        ORIGIN_AP_EFFVW UNUNI
SET_CNTRL_REC 623UU                AP_04        ORIGIN_AP_OPT   UNUNI
SET_CNTRL_REC 623UU                AP_05        CNTRCT_PPACT_VW SHARE
SET_CNTRL_REC 623UU                AP_05        DST_CNTRL_HDR   SHARE
SET_CNTRL_REC 623UU                AP_05        DST_CNTRL_TBL   SHARE

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AP_05        DST_CNTRL_VW    SHARE
SET_CNTRL_REC 623UU                AP_05        DST_DETL_CNTRL  SHARE
SET_CNTRL_REC 623UU                AP_06        SPEEDCHART_DTL  UNUNI
SET_CNTRL_REC 623UU                AP_06        SPEEDCHART_DVW  UNUNI
SET_CNTRL_REC 623UU                AP_06        SPEEDCHART_HDR  UNUNI
SET_CNTRL_REC 623UU                AP_06        SPEEDCHART_VW   UNUNI
SET_CNTRL_REC 623UU                AP_06        SPEEDCHART_VW1  UNUNI
SET_CNTRL_REC 623UU                AP_06        SPEEDCHART_VW2  UNUNI
SET_CNTRL_REC 623UU                AP_09        KEYWORD_AP      SHARE
SET_CNTRL_REC 623UU                AP_09        KEYWORD_AP_VW   SHARE
SET_CNTRL_REC 623UU                AP_10        BUS_CAL_DFN_TBL SHARE
SET_CNTRL_REC 623UU                AP_10        BUS_CAL_DFN_VW  SHARE
SET_CNTRL_REC 623UU                AP_10        BUS_CAL_HOL_TBL SHARE
SET_CNTRL_REC 623UU                AP_10        BUS_CAL_YR_LANG SHARE
SET_CNTRL_REC 623UU                AP_10        BUS_CAL_YR_VW   SHARE
SET_CNTRL_REC 623UU                AP_11        AP_ASSTN_ALGHDR SHARE
SET_CNTRL_REC 623UU                AP_11        MTCH_CNTRL      SHARE
SET_CNTRL_REC 623UU                AP_11        MTCH_CNTRL_VW   SHARE
SET_CNTRL_REC 623UU                AP_11        MTCH_CNTRL_VW1  SHARE
SET_CNTRL_REC 623UU                AP_11        MTCH_CNTRL_VW2  SHARE
SET_CNTRL_REC 623UU                AP_11        MTCH_CNTRL_VW3  SHARE

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AP_11        VCHR_BLD_CODE   SHARE
SET_CNTRL_REC 623UU                AP_11        VCHR_BLD_DEFN   SHARE
SET_CNTRL_REC 623UU                AP_11        VCHR_BLD_PO     SHARE
SET_CNTRL_REC 623UU                AP_11        VCHR_BLD_RECV   SHARE
SET_CNTRL_REC 623UU                AP_13        PYMNT_MSG_LN    SHARE
SET_CNTRL_REC 623UU                AP_13        PYMNT_MSG_LN_LG SHARE
SET_CNTRL_REC 623UU                AP_13        PYMNT_MSG_TBL   SHARE
SET_CNTRL_REC 623UU                AP_13        PYMNT_MSG_TB_LG SHARE
SET_CNTRL_REC 623UU                AP_13        PYMNT_MSG_VW    SHARE
SET_CNTRL_REC 623UU                AR_02        AGING_CATEGT_LG SHARE
SET_CNTRL_REC 623UU                AR_02        AGING_CATEG_TBL SHARE
SET_CNTRL_REC 623UU                AR_02        AGING_ID_VW     SHARE
SET_CNTRL_REC 623UU                AR_02        AGING_TBL       SHARE
SET_CNTRL_REC 623UU                AR_02        AGING_TBL_LG    SHARE
SET_CNTRL_REC 623UU                AR_02        CUR_AGE_CAT_VW  SHARE
SET_CNTRL_REC 623UU                AR_03        AR_CREDIT_HOLD  UNUNI
SET_CNTRL_REC 623UU                AR_03        BUS_UNIT_OPT_AR UNUNI
SET_CNTRL_REC 623UU                AR_03        BU_OPT_AR       UNUNI
SET_CNTRL_REC 623UU                AR_03        BU_OPT_D_VW_AR  UNUNI
SET_CNTRL_REC 623UU                AR_04        COLLECTION_LG   SHARE
SET_CNTRL_REC 623UU                AR_04        COLLECTION_TBL  SHARE

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AR_04        COLLECTOR2_VW   SHARE
SET_CNTRL_REC 623UU                AR_05        COLLECTOR_SI_VW SHARE
SET_CNTRL_REC 623UU                AR_05        COLLECTOR_TBL   SHARE
SET_CNTRL_REC 623UU                AR_05        COLLECTOR_VW    SHARE
SET_CNTRL_REC 623UU                AR_07        CR_ANALYST2_VW  SHARE
SET_CNTRL_REC 623UU                AR_07        CR_ANALYST_TBL  SHARE
SET_CNTRL_REC 623UU                AR_07        CR_ANALYST_VW   SHARE
SET_CNTRL_REC 623UU                AR_07        CR_ANAL_SI_VW   SHARE
SET_CNTRL_REC 623UU                AR_09        DISPUTE_TBL     SHARE
SET_CNTRL_REC 623UU                AR_09        DISPUTE_TBL_LG  SHARE
SET_CNTRL_REC 623UU                AR_11        DEPOST_TYPE_LG  UNUNI
SET_CNTRL_REC 623UU                AR_11        DEPOST_TYPE_TBL UNUNI
SET_CNTRL_REC 623UU                AR_12        CUST_DB         UNUNI
SET_CNTRL_REC 623UU                AR_13        DUNNING_LVL_TBL SHARE
SET_CNTRL_REC 623UU                AR_13        DUNNING_TBL     SHARE
SET_CNTRL_REC 623UU                AR_13        DUNNING_TBL_LG  SHARE
SET_CNTRL_REC 623UU                AR_13        LETTER_CD_LG    SHARE
SET_CNTRL_REC 623UU                AR_13        LETTER_CD_TBL   SHARE
SET_CNTRL_REC 623UU                AR_13        LTR_CD_DUN_VW   SHARE
SET_CNTRL_REC 623UU                AR_13        LTR_CD_FOL_VW   SHARE
SET_CNTRL_REC 623UU                AR_14        BI_DST_IA_LG_VW UNUNI

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
